Trial_ID,Start_X,Start_Y,End_X,End_Y,Target_R,Distance_Euclidean,Timestamp_ms,Mouse_X,Mouse_Y
63,512,297,162,359,15,355.45,323,284,371
63,512,297,162,359,15,355.45,333,277,374
63,512,297,162,359,15,355.45,343,269,378
63,512,297,162,359,15,355.45,353,260,381
63,512,297,162,359,15,355.45,364,253,385
63,512,297,162,359,15,355.45,374,247,388
63,512,297,162,359,15,355.45,384,243,389
63,512,297,162,359,15,355.45,394,239,390
63,512,297,162,359,15,355.45,409,236,391
63,512,297,162,359,15,355.45,419,234,391
63,512,297,162,359,15,355.45,429,232,391
63,512,297,162,359,15,355.45,440,227,390
63,512,297,162,359,15,355.45,449,222,389
63,512,297,162,359,15,355.45,459,216,387
63,512,297,162,359,15,355.45,469,210,385
63,512,297,162,359,15,355.45,479,202,381
63,512,297,162,359,15,355.45,489,194,377
63,512,297,162,359,15,355.45,499,184,372
63,512,297,162,359,15,355.45,509,172,367
63,512,297,162,359,15,355.45,519,162,364
63,512,297,162,359,15,355.45,529,152,361
63,512,297,162,359,15,355.45,540,146,359
63,512,297,162,359,15,355.45,550,142,358
63,512,297,162,359,15,355.45,572,141,358
63,512,297,162,359,15,355.45,583,140,358
63,512,297,162,359,15,355.45,593,140,357
63,512,297,162,359,15,355.45,609,141,356
63,512,297,162,359,15,355.45,621,142,355
63,512,297,162,359,15,355.45,633,142,355
63,512,297,162,359,15,355.45,649,143,355
63,512,297,162,359,15,355.45,663,143,354
63,512,297,162,359,15,355.45,679,144,354
63,512,297,162,359,15,355.45,691,145,354
63,512,297,162,359,15,355.45,701,147,353
63,512,297,162,359,15,355.45,711,150,353
63,512,297,162,359,15,355.45,722,152,352
63,512,297,162,359,15,355.45,731,155,352
63,512,297,162,359,15,355.45,741,158,352
63,512,297,162,359,15,355.45,753,161,352
63,512,297,162,359,15,355.45,763,162,353
63,512,297,162,359,15,355.45,773,163,353
63,512,297,162,359,15,355.45,784,163,353
63,512,297,162,359,15,355.45,804,163,353
63,512,297,162,359,15,355.45,815,164,354
63,512,297,162,359,15,355.45,825,164,354
63,512,297,162,359,15,355.45,836,165,354
63,512,297,162,359,15,355.45,848,166,355
63,512,297,162,359,15,355.45,859,167,356
63,512,297,162,359,15,355.45,873,167,357
63,512,297,162,359,15,355.45,893,168,357
63,512,297,162,359,15,355.45,904,168,357
63,512,297,162,359,15,355.45,921,169,357
64,234,259,596,221,15,363.99,0,239,252
64,234,259,596,221,15,363.99,24,239,252
64,234,259,596,221,15,363.99,39,239,252
64,234,259,596,221,15,363.99,55,239,252
64,234,259,596,221,15,363.99,70,239,252
64,234,259,596,221,15,363.99,86,239,252
64,234,259,596,221,15,363.99,101,239,252
64,234,259,596,221,15,363.99,115,239,253
64,234,259,596,221,15,363.99,124,240,254
64,234,259,596,221,15,363.99,135,241,256
64,234,259,596,221,15,363.99,145,246,258
64,234,259,596,221,15,363.99,155,253,261
64,234,259,596,221,15,363.99,165,265,263
64,234,259,596,221,15,363.99,175,281,266
64,234,259,596,221,15,363.99,185,297,269
64,234,259,596,221,15,363.99,195,316,273
64,234,259,596,221,15,363.99,205,336,277
64,234,259,596,221,15,363.99,215,357,280
64,234,259,596,221,15,363.99,225,379,281
64,234,259,596,221,15,363.99,235,399,282
64,234,259,596,221,15,363.99,245,416,282
64,234,259,596,221,15,363.99,255,430,279
64,234,259,596,221,15,363.99,265,442,275
64,234,259,596,221,15,363.99,275,452,272
64,234,259,596,221,15,363.99,287,460,267
64,234,259,596,221,15,363.99,296,464,266
64,234,259,596,221,15,363.99,307,467,264
64,234,259,596,221,15,363.99,317,470,262
64,234,259,596,221,15,363.99,327,475,259
64,234,259,596,221,15,363.99,337,480,255
64,234,259,596,221,15,363.99,347,488,251
64,234,259,596,221,15,363.99,357,497,246
64,234,259,596,221,15,363.99,367,505,242
64,234,259,596,221,15,363.99,377,515,238
64,234,259,596,221,15,363.99,387,522,234
64,234,259,596,221,15,363.99,397,529,232
64,234,259,596,221,15,363.99,407,535,230
64,234,259,596,221,15,363.99,417,539,229
64,234,259,596,221,15,363.99,427,542,227
64,234,259,596,221,15,363.99,437,545,226
64,234,259,596,221,15,363.99,448,548,225
64,234,259,596,221,15,363.99,461,549,224
64,234,259,596,221,15,363.99,471,552,223
64,234,259,596,221,15,363.99,481,554,222
64,234,259,596,221,15,363.99,491,557,221
64,234,259,596,221,15,363.99,501,560,220
64,234,259,596,221,15,363.99,511,562,219
64,234,259,596,221,15,363.99,521,565,218
64,234,259,596,221,15,363.99,531,567,217
64,234,259,596,221,15,363.99,545,568,216
64,234,259,596,221,15,363.99,565,569,216
64,234,259,596,221,15,363.99,577,570,216
64,234,259,596,221,15,363.99,587,570,217
64,234,259,596,221,15,363.99,597,571,218
64,234,259,596,221,15,363.99,606,575,219
64,234,259,596,221,15,363.99,617,578,219
64,234,259,596,221,15,363.99,627,583,221
64,234,259,596,221,15,363.99,637,588,222
64,234,259,596,221,15,363.99,647,594,224
64,234,259,596,221,15,363.99,657,599,225
64,234,259,596,221,15,363.99,667,604,226
64,234,259,596,221,15,363.99,677,607,226
64,234,259,596,221,15,363.99,688,609,226
64,234,259,596,221,15,363.99,700,610,227
64,234,259,596,221,15,363.99,710,610,227
64,234,259,596,221,15,363.99,725,611,227
64,234,259,596,221,15,363.99,741,611,227
64,234,259,596,221,15,363.99,757,611,227
64,234,259,596,221,15,363.99,772,611,227
64,234,259,596,221,15,363.99,788,611,227
64,234,259,596,221,15,363.99,804,611,227
64,234,259,596,221,15,363.99,819,611,227
64,234,259,596,221,15,363.99,835,611,227
64,234,259,596,221,15,363.99,850,611,227
64,234,259,596,221,15,363.99,866,611,227
64,234,259,596,221,15,363.99,881,611,227
64,234,259,596,221,15,363.99,896,611,227
64,234,259,596,221,15,363.99,912,611,227
64,234,259,596,221,15,363.99,927,611,227
64,234,259,596,221,15,363.99,943,611,227
64,234,259,596,221,15,363.99,958,611,227
64,234,259,596,221,15,363.99,971,610,226
64,234,259,596,221,15,363.99,983,609,225
64,234,259,596,221,15,363.99,995,607,224
64,234,259,596,221,15,363.99,1005,606,223
64,234,259,596,221,15,363.99,1017,603,222
64,234,259,596,221,15,363.99,1028,602,221
64,234,259,596,221,15,363.99,1038,600,220
64,234,259,596,221,15,363.99,1051,599,220
64,234,259,596,221,15,363.99,1065,598,219
64,234,259,596,221,15,363.99,1082,598,219
64,234,259,596,221,15,363.99,1098,597,219
64,234,259,596,221,15,363.99,1113,597,219
64,234,259,596,221,15,363.99,1128,597,219
64,234,259,596,221,15,363.99,1144,596,219
64,234,259,596,221,15,363.99,1159,596,219
64,234,259,596,221,15,363.99,1167,596,219
65,510,134,409,413,15,296.72,1,503,136
65,510,134,409,413,15,296.72,13,503,136
65,510,134,409,413,15,296.72,29,503,136
65,510,134,409,413,15,296.72,44,503,136
65,510,134,409,413,15,296.72,59,503,136
65,510,134,409,413,15,296.72,76,503,136
65,510,134,409,413,15,296.72,90,503,137
65,510,134,409,413,15,296.72,101,502,137
65,510,134,409,413,15,296.72,110,499,140
65,510,134,409,413,15,296.72,121,494,144
65,510,134,409,413,15,296.72,131,488,150
65,510,134,409,413,15,296.72,141,482,160
65,510,134,409,413,15,296.72,151,474,174
65,510,134,409,413,15,296.72,161,466,190
65,510,134,409,413,15,296.72,171,455,207
65,510,134,409,413,15,296.72,181,441,226
65,510,134,409,413,15,296.72,192,423,243
65,510,134,409,413,15,296.72,201,405,258
65,510,134,409,413,15,296.72,211,390,272
65,510,134,409,413,15,296.72,222,377,286
65,510,134,409,413,15,296.72,231,368,298
65,510,134,409,413,15,296.72,242,363,309
65,510,134,409,413,15,296.72,252,361,318
65,510,134,409,413,15,296.72,262,361,322
65,510,134,409,413,15,296.72,272,361,325
65,510,134,409,413,15,296.72,282,363,327
65,510,134,409,413,15,296.72,293,364,331
65,510,134,409,413,15,296.72,303,366,335
65,510,134,409,413,15,296.72,313,367,339
65,510,134,409,413,15,296.72,323,369,343
65,510,134,409,413,15,296.72,333,371,348
65,510,134,409,413,15,296.72,342,373,351
65,510,134,409,413,15,296.72,353,376,354
65,510,134,409,413,15,296.72,363,379,357
65,510,134,409,413,15,296.72,373,381,359
65,510,134,409,413,15,296.72,383,384,361
65,510,134,409,413,15,296.72,394,386,364
65,510,134,409,413,15,296.72,403,388,367
65,510,134,409,413,15,296.72,413,391,371
65,510,134,409,413,15,296.72,424,394,376
65,510,134,409,413,15,296.72,434,396,381
65,510,134,409,413,15,296.72,445,397,384
65,510,134,409,413,15,296.72,455,397,388
65,510,134,409,413,15,296.72,467,397,390
65,510,134,409,413,15,296.72,477,397,392
65,510,134,409,413,15,296.72,493,397,393
65,510,134,409,413,15,296.72,503,397,394
65,510,134,409,413,15,296.72,514,397,394
65,510,134,409,413,15,296.72,527,397,395
65,510,134,409,413,15,296.72,543,397,395
65,510,134,409,413,15,296.72,559,398,395
65,510,134,409,413,15,296.72,573,399,395
65,510,134,409,413,15,296.72,583,399,395
65,510,134,409,413,15,296.72,593,399,395
65,510,134,409,413,15,296.72,606,400,395
65,510,134,409,413,15,296.72,618,400,396
65,510,134,409,413,15,296.72,637,400,396
65,510,134,409,413,15,296.72,650,401,396
65,510,134,409,413,15,296.72,661,401,397
65,510,134,409,413,15,296.72,675,402,398
65,510,134,409,413,15,296.72,685,403,399
65,510,134,409,413,15,296.72,697,404,401
65,510,134,409,413,15,296.72,708,404,402
65,510,134,409,413,15,296.72,723,405,402
65,510,134,409,413,15,296.72,744,405,403
65,510,134,409,413,15,296.72,755,405,403
65,510,134,409,413,15,296.72,776,405,403
65,510,134,409,413,15,296.72,791,405,403
65,510,134,409,413,15,296.72,807,405,403
65,510,134,409,413,15,296.72,822,405,403
65,510,134,409,413,15,296.72,827,405,403
66,675,345,322,66,15,449.94,1,673,345
66,675,345,322,66,15,449.94,13,673,345
66,675,345,322,66,15,449.94,28,673,345
66,675,345,322,66,15,449.94,44,673,345
66,675,345,322,66,15,449.94,59,673,345
66,675,345,322,66,15,449.94,74,673,345
66,675,345,322,66,15,449.94,90,673,345
66,675,345,322,66,15,449.94,105,673,345
66,675,345,322,66,15,449.94,117,671,345
66,675,345,322,66,15,449.94,128,669,345
66,675,345,322,66,15,449.94,137,664,344
66,675,345,322,66,15,449.94,148,659,343
66,675,345,322,66,15,449.94,158,654,342
66,675,345,322,66,15,449.94,168,646,341
66,675,345,322,66,15,449.94,178,632,339
66,675,345,322,66,15,449.94,188,615,335
66,675,345,322,66,15,449.94,198,593,330
66,675,345,322,66,15,449.94,208,571,323
66,675,345,322,66,15,449.94,218,550,316
66,675,345,322,66,15,449.94,228,532,309
66,675,345,322,66,15,449.94,238,513,303
66,675,345,322,66,15,449.94,248,498,297
66,675,345,322,66,15,449.94,259,483,292
66,675,345,322,66,15,449.94,270,474,288
66,675,345,322,66,15,449.94,279,467,286
66,675,345,322,66,15,449.94,290,464,285
66,675,345,322,66,15,449.94,300,460,283
66,675,345,322,66,15,449.94,310,457,281
66,675,345,322,66,15,449.94,320,453,277
66,675,345,322,66,15,449.94,330,448,269
66,675,345,322,66,15,449.94,340,442,259
66,675,345,322,66,15,449.94,350,437,251
66,675,345,322,66,15,449.94,361,429,239
66,675,345,322,66,15,449.94,370,423,226
66,675,345,322,66,15,449.94,380,417,211
66,675,345,322,66,15,449.94,390,411,193
66,675,345,322,66,15,449.94,400,405,172
66,675,345,322,66,15,449.94,410,395,147
66,675,345,322,66,15,449.94,421,387,122
66,675,345,322,66,15,449.94,431,378,100
66,675,345,322,66,15,449.94,442,368,79
66,675,345,322,66,15,449.94,451,361,66
66,675,345,322,66,15,449.94,461,356,58
66,675,345,322,66,15,449.94,472,352,51
66,675,345,322,66,15,449.94,481,350,48
66,675,345,322,66,15,449.94,492,349,45
66,675,345,322,66,15,449.94,503,347,43
66,675,345,322,66,15,449.94,513,347,42
66,675,345,322,66,15,449.94,523,347,42
66,675,345,322,66,15,449.94,539,346,41
66,675,345,322,66,15,449.94,551,346,42
66,675,345,322,66,15,449.94,562,345,43
66,675,345,322,66,15,449.94,572,343,44
66,675,345,322,66,15,449.94,582,342,47
66,675,345,322,66,15,449.94,593,341,49
66,675,345,322,66,15,449.94,603,341,51
66,675,345,322,66,15,449.94,613,341,53
66,675,345,322,66,15,449.94,623,340,56
66,675,345,322,66,15,449.94,634,339,58
66,675,345,322,66,15,449.94,644,339,60
66,675,345,322,66,15,449.94,655,339,62
66,675,345,322,66,15,449.94,665,339,63
66,675,345,322,66,15,449.94,682,339,63
66,675,345,322,66,15,449.94,695,338,64
66,675,345,322,66,15,449.94,712,338,64
66,675,345,322,66,15,449.94,722,337,64
66,675,345,322,66,15,449.94,734,336,65
66,675,345,322,66,15,449.94,745,334,66
66,675,345,322,66,15,449.94,758,331,67
66,675,345,322,66,15,449.94,768,329,68
66,675,345,322,66,15,449.94,779,326,69
66,675,345,322,66,15,449.94,790,325,70
66,675,345,322,66,15,449.94,804,323,71
66,675,345,322,66,15,449.94,819,323,72
66,675,345,322,66,15,449.94,832,322,72
66,675,345,322,66,15,449.94,850,322,72
66,675,345,322,66,15,449.94,866,322,72
66,675,345,322,66,15,449.94,881,322,72
66,675,345,322,66,15,449.94,890,322,72
67,462,513,446,182,15,331.39,0,463,511
67,462,513,446,182,15,331.39,15,463,511
67,462,513,446,182,15,331.39,32,463,511
67,462,513,446,182,15,331.39,45,463,512
67,462,513,446,182,15,331.39,62,463,512
67,462,513,446,182,15,331.39,75,463,511
67,462,513,446,182,15,331.39,85,462,509
67,462,513,446,182,15,331.39,95,460,507
67,462,513,446,182,15,331.39,105,459,505
67,462,513,446,182,15,331.39,115,458,502
67,462,513,446,182,15,331.39,125,458,499
67,462,513,446,182,15,331.39,135,458,495
67,462,513,446,182,15,331.39,145,458,492
67,462,513,446,182,15,331.39,156,458,489
67,462,513,446,182,15,331.39,166,458,483
67,462,513,446,182,15,331.39,177,459,473
67,462,513,446,182,15,331.39,186,462,459
67,462,513,446,182,15,331.39,196,467,445
67,462,513,446,182,15,331.39,207,472,428
67,462,513,446,182,15,331.39,217,474,412
67,462,513,446,182,15,331.39,227,476,400
67,462,513,446,182,15,331.39,237,476,390
67,462,513,446,182,15,331.39,247,476,384
67,462,513,446,182,15,331.39,257,475,380
67,462,513,446,182,15,331.39,267,473,375
67,462,513,446,182,15,331.39,277,470,369
67,462,513,446,182,15,331.39,287,465,359
67,462,513,446,182,15,331.39,297,460,345
67,462,513,446,182,15,331.39,307,454,328
67,462,513,446,182,15,331.39,317,451,310
67,462,513,446,182,15,331.39,327,448,289
67,462,513,446,182,15,331.39,338,445,269
67,462,513,446,182,15,331.39,349,443,250
67,462,513,446,182,15,331.39,358,443,239
67,462,513,446,182,15,331.39,368,443,228
67,462,513,446,182,15,331.39,379,443,217
67,462,513,446,182,15,331.39,389,443,207
67,462,513,446,182,15,331.39,399,443,198
67,462,513,446,182,15,331.39,409,443,194
67,462,513,446,182,15,331.39,421,443,191
67,462,513,446,182,15,331.39,433,442,190
67,462,513,446,182,15,331.39,450,442,189
67,462,513,446,182,15,331.39,466,442,189
67,462,513,446,182,15,331.39,482,442,189
67,462,513,446,182,15,331.39,497,442,189
67,462,513,446,182,15,331.39,513,442,189
67,462,513,446,182,15,331.39,528,442,189
67,462,513,446,182,15,331.39,545,442,189
67,462,513,446,182,15,331.39,559,442,189
67,462,513,446,182,15,331.39,575,442,189
67,462,513,446,182,15,331.39,590,442,189
67,462,513,446,182,15,331.39,605,442,189
67,462,513,446,182,15,331.39,621,442,189
67,462,513,446,182,15,331.39,637,442,189
67,462,513,446,182,15,331.39,652,442,189
67,462,513,446,182,15,331.39,667,442,189
67,462,513,446,182,15,331.39,673,442,189
68,510,348,177,234,15,351.97,0,504,346
68,510,348,177,234,15,351.97,14,504,346
68,510,348,177,234,15,351.97,29,504,346
68,510,348,177,234,15,351.97,44,504,346
68,510,348,177,234,15,351.97,60,504,346
68,510,348,177,234,15,351.97,72,504,346
68,510,348,177,234,15,351.97,91,504,346
68,510,348,177,234,15,351.97,102,499,346
68,510,348,177,234,15,351.97,112,492,347
68,510,348,177,234,15,351.97,122,478,350
68,510,348,177,234,15,351.97,132,464,355
68,510,348,177,234,15,351.97,141,446,360
68,510,348,177,234,15,351.97,152,430,365
68,510,348,177,234,15,351.97,162,412,371
68,510,348,177,234,15,351.97,172,398,374
68,510,348,177,234,15,351.97,182,387,376
68,510,348,177,234,15,351.97,192,378,378
68,510,348,177,234,15,351.97,202,370,380
68,510,348,177,234,15,351.97,212,362,383
68,510,348,177,234,15,351.97,223,356,384
68,510,348,177,234,15,351.97,233,352,386
68,510,348,177,234,15,351.97,245,348,386
68,510,348,177,234,15,351.97,258,343,383
68,510,348,177,234,15,351.97,267,340,380
68,510,348,177,234,15,351.97,277,334,375
68,510,348,177,234,15,351.97,288,326,368
68,510,348,177,234,15,351.97,298,318,359
68,510,348,177,234,15,351.97,308,307,348
68,510,348,177,234,15,351.97,318,297,337
68,510,348,177,234,15,351.97,328,288,326
68,510,348,177,234,15,351.97,338,280,317
68,510,348,177,234,15,351.97,348,270,307
68,510,348,177,234,15,351.97,360,254,294
68,510,348,177,234,15,351.97,370,239,283
68,510,348,177,234,15,351.97,380,225,276
68,510,348,177,234,15,351.97,390,213,271
68,510,348,177,234,15,351.97,400,204,268
68,510,348,177,234,15,351.97,410,198,265
68,510,348,177,234,15,351.97,420,195,265
68,510,348,177,234,15,351.97,433,194,264
68,510,348,177,234,15,351.97,443,194,264
68,510,348,177,234,15,351.97,456,193,264
68,510,348,177,234,15,351.97,478,193,264
68,510,348,177,234,15,351.97,488,193,264
68,510,348,177,234,15,351.97,510,192,263
68,510,348,177,234,15,351.97,521,191,261
68,510,348,177,234,15,351.97,534,191,260
68,510,348,177,234,15,351.97,545,191,258
68,510,348,177,234,15,351.97,554,191,255
68,510,348,177,234,15,351.97,566,193,253
68,510,348,177,234,15,351.97,578,194,251
68,510,348,177,234,15,351.97,588,194,250
68,510,348,177,234,15,351.97,602,195,248
68,510,348,177,234,15,351.97,618,195,247
68,510,348,177,234,15,351.97,634,194,246
68,510,348,177,234,15,351.97,643,192,246
68,510,348,177,234,15,351.97,654,190,245
68,510,348,177,234,15,351.97,665,189,244
68,510,348,177,234,15,351.97,681,188,244
68,510,348,177,234,15,351.97,697,188,244
68,510,348,177,234,15,351.97,712,187,244
68,510,348,177,234,15,351.97,728,187,244
68,510,348,177,234,15,351.97,744,187,244
68,510,348,177,234,15,351.97,759,187,244
68,510,348,177,234,15,351.97,773,187,243
68,510,348,177,234,15,351.97,790,187,243
68,510,348,177,234,15,351.97,804,187,243
68,510,348,177,234,15,351.97,818,187,242
68,510,348,177,234,15,351.97,836,187,242
68,510,348,177,234,15,351.97,847,187,242
68,510,348,177,234,15,351.97,858,187,242
68,510,348,177,234,15,351.97,882,187,242
68,510,348,177,234,15,351.97,898,187,242
68,510,348,177,234,15,351.97,912,187,242
69,384,370,641,414,15,260.74,0,391,376
69,384,370,641,414,15,260.74,19,391,376
69,384,370,641,414,15,260.74,34,391,376
69,384,370,641,414,15,260.74,49,391,376
69,384,370,641,414,15,260.74,65,391,376
69,384,370,641,414,15,260.74,81,391,376
69,384,370,641,414,15,260.74,96,391,376
69,384,370,641,414,15,260.74,109,390,376
69,384,370,641,414,15,260.74,119,387,374
69,384,370,641,414,15,260.74,129,383,371
69,384,370,641,414,15,260.74,139,379,369
69,384,370,641,414,15,260.74,149,377,368
69,384,370,641,414,15,260.74,159,376,366
69,384,370,641,414,15,260.74,169,378,361
69,384,370,641,414,15,260.74,180,383,354
69,384,370,641,414,15,260.74,189,393,343
69,384,370,641,414,15,260.74,199,403,332
69,384,370,641,414,15,260.74,209,414,317
69,384,370,641,414,15,260.74,220,423,304
69,384,370,641,414,15,260.74,230,430,290
69,384,370,641,414,15,260.74,241,434,283
69,384,370,641,414,15,260.74,251,437,281
69,384,370,641,414,15,260.74,261,440,280
69,384,370,641,414,15,260.74,271,444,280
69,384,370,641,414,15,260.74,281,450,283
69,384,370,641,414,15,260.74,291,459,287
69,384,370,641,414,15,260.74,301,468,294
69,384,370,641,414,15,260.74,311,481,304
69,384,370,641,414,15,260.74,322,491,313
69,384,370,641,414,15,260.74,332,502,325
69,384,370,641,414,15,260.74,344,513,342
69,384,370,641,414,15,260.74,354,537,366
69,384,370,641,414,15,260.74,365,552,381
69,384,370,641,414,15,260.74,375,565,393
69,384,370,641,414,15,260.74,385,576,403
69,384,370,641,414,15,260.74,395,586,410
69,384,370,641,414,15,260.74,405,593,415
69,384,370,641,414,15,260.74,416,599,418
69,384,370,641,414,15,260.74,425,602,419
69,384,370,641,414,15,260.74,439,605,420
69,384,370,641,414,15,260.74,452,606,420
69,384,370,641,414,15,260.74,461,607,419
69,384,370,641,414,15,260.74,471,608,417
69,384,370,641,414,15,260.74,482,608,416
69,384,370,641,414,15,260.74,491,608,414
69,384,370,641,414,15,260.74,502,608,413
69,384,370,641,414,15,260.74,515,609,412
69,384,370,641,414,15,260.74,533,609,412
69,384,370,641,414,15,260.74,550,609,412
69,384,370,641,414,15,260.74,565,610,412
69,384,370,641,414,15,260.74,579,612,412
69,384,370,641,414,15,260.74,595,613,412
69,384,370,641,414,15,260.74,605,614,412
69,384,370,641,414,15,260.74,617,616,412
69,384,370,641,414,15,260.74,628,617,413
69,384,370,641,414,15,260.74,638,621,413
69,384,370,641,414,15,260.74,647,623,412
69,384,370,641,414,15,260.74,658,625,411
69,384,370,641,414,15,260.74,669,627,410
69,384,370,641,414,15,260.74,679,628,409
69,384,370,641,414,15,260.74,691,629,408
69,384,370,641,414,15,260.74,703,630,407
69,384,370,641,414,15,260.74,715,631,407
69,384,370,641,414,15,260.74,724,632,406
69,384,370,641,414,15,260.74,735,633,406
69,384,370,641,414,15,260.74,754,634,405
69,384,370,641,414,15,260.74,765,634,404
69,384,370,641,414,15,260.74,785,634,404
69,384,370,641,414,15,260.74,801,635,404
69,384,370,641,414,15,260.74,815,635,404
70,143,188,439,505,15,433.71,0,152,187
70,143,188,439,505,15,433.71,18,152,187
70,143,188,439,505,15,433.71,33,152,187
70,143,188,439,505,15,433.71,48,152,187
70,143,188,439,505,15,433.71,65,152,187
70,143,188,439,505,15,433.71,80,152,187
70,143,188,439,505,15,433.71,95,152,187
70,143,188,439,505,15,433.71,107,151,187
70,143,188,439,505,15,433.71,126,150,187
70,143,188,439,505,15,433.71,137,150,187
70,143,188,439,505,15,433.71,153,151,187
70,143,188,439,505,15,433.71,164,156,188
70,143,188,439,505,15,433.71,174,168,191
70,143,188,439,505,15,433.71,183,187,194
70,143,188,439,505,15,433.71,194,214,199
70,143,188,439,505,15,433.71,203,254,207
70,143,188,439,505,15,433.71,214,292,217
70,143,188,439,505,15,433.71,224,328,228
70,143,188,439,505,15,433.71,234,361,242
70,143,188,439,505,15,433.71,244,391,258
70,143,188,439,505,15,433.71,255,422,278
70,143,188,439,505,15,433.71,266,440,295
70,143,188,439,505,15,433.71,276,450,310
70,143,188,439,505,15,433.71,286,455,321
70,143,188,439,505,15,433.71,296,457,334
70,143,188,439,505,15,433.71,306,458,347
70,143,188,439,505,15,433.71,315,458,360
70,143,188,439,505,15,433.71,325,456,373
70,143,188,439,505,15,433.71,336,453,385
70,143,188,439,505,15,433.71,345,450,397
70,143,188,439,505,15,433.71,358,447,412
70,143,188,439,505,15,433.71,367,444,425
70,143,188,439,505,15,433.71,378,444,435
70,143,188,439,505,15,433.71,388,444,442
70,143,188,439,505,15,433.71,397,444,446
70,143,188,439,505,15,433.71,408,444,450
70,143,188,439,505,15,433.71,417,444,454
70,143,188,439,505,15,433.71,428,442,456
70,143,188,439,505,15,433.71,437,442,459
70,143,188,439,505,15,433.71,448,441,462
70,143,188,439,505,15,433.71,458,441,466
70,143,188,439,505,15,433.71,467,440,470
70,143,188,439,505,15,433.71,480,439,475
70,143,188,439,505,15,433.71,489,438,478
70,143,188,439,505,15,433.71,500,436,482
70,143,188,439,505,15,433.71,511,436,488
70,143,188,439,505,15,433.71,522,436,492
70,143,188,439,505,15,433.71,532,436,496
70,143,188,439,505,15,433.71,541,436,500
70,143,188,439,505,15,433.71,552,437,504
70,143,188,439,505,15,433.71,562,438,509
70,143,188,439,505,15,433.71,573,439,514
70,143,188,439,505,15,433.71,583,441,517
70,143,188,439,505,15,433.71,593,441,518
70,143,188,439,505,15,433.71,610,442,519
70,143,188,439,505,15,433.71,624,442,520
70,143,188,439,505,15,433.71,640,442,520
